,roe,ratio1,ratio2,ratio3,ratio4,ratio5,ratio6,ratio7,ratio8,ratio9,ratio10,ratio11,ev,type1,type2,type3,type4,type5
217,0,0.91 ,61.06 ,103.38 ,38.94 ,91.92 ,0.04 ,0.14 ,218.86 ,6.62 ,8.62 ,39.69 ,119880.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
218,0,1.04 ,56.90 ,118.27 ,43.10 ,92.38 ,0.52 ,0.22 ,244.44 ,7.61 ,8.90 ,46.47 ,8778.18 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
219,1,0.69 ,69.73 ,112.14 ,30.27 ,94.00 ,0.50 ,0.55 ,338.91 ,5.87 ,6.59 ,30.81 ,36127.64 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
220,1,0.99 ,55.42 ,102.50 ,44.58 ,92.79 ,0.19 ,0.48 ,105.97 ,7.33 ,8.74 ,30.66 ,34767.46 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
221,1,0.55 ,71.74 ,105.61 ,28.26 ,95.42 ,0.12 ,0.35 ,78.06 ,4.27 ,4.69 ,46.26 ,21960.20 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
222,1,1.04 ,69.79 ,106.67 ,30.21 ,92.80 ,0.76 ,2.63 ,316.87 ,7.22 ,7.84 ,39.14 ,11629.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
223,1,0.74 ,68.24 ,105.26 ,31.76 ,95.29 ,0.60 ,0.31 ,292.30 ,4.73 ,5.32 ,42.28 ,27079.27 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
224,1,0.77 ,64.82 ,113.23 ,35.18 ,93.61 ,0.05 ,0.97 ,210.91 ,5.32 ,6.14 ,31.87 ,378181.80 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
225,1,1.19 ,57.43 ,109.16 ,42.57 ,92.15 ,0.30 ,0.58 ,216.34 ,7.58 ,8.63 ,31.79 ,47663.42 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
226,1,0.93 ,55.19 ,108.13 ,44.81 ,92.89 ,0.17 ,0.41 ,222.46 ,7.01 ,8.57 ,39.26 ,45677.85 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
227,1,0.99 ,59.69 ,113.16 ,40.31 ,92.80 ,0.45 ,0.34 ,243.13 ,7.23 ,8.26 ,39.51 ,16090.89 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
228,1,0.86 ,63.21 ,108.00 ,36.79 ,92.58 ,0.06 ,1.18 ,231.22 ,7.42 ,8.65 ,28.91 ,659773.39 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
229,1,0.89 ,54.80 ,111.29 ,45.20 ,92.54 ,0.24 ,0.45 ,178.49 ,7.33 ,8.75 ,29.85 ,74382.45 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
230,1,0.86 ,69.76 ,111.92 ,30.24 ,94.00 ,0.52 ,0.67 ,248.79 ,5.88 ,6.54 ,34.99 ,27816.94 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
231,1,1.27 ,54.05 ,107.39 ,45.95 ,90.75 ,1.14 ,0.99 ,191.75 ,9.19 ,10.53 ,27.85 ,63383.78 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
232,1,1.09 ,63.31 ,104.79 ,36.69 ,91.35 ,0.39 ,0.49 ,257.69 ,9.17 ,9.65 ,47.67 ,9729.57 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
233,1,0.81 ,64.54 ,109.45 ,35.46 ,92.56 ,0.68 ,0.89 ,129.52 ,7.48 ,8.33 ,32.96 ,58319.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
234,1,0.96 ,59.91 ,117.27 ,40.09 ,94.03 ,0.60 ,1.49 ,167.97 ,5.96 ,6.98 ,40.98 ,33509.49 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
